LicenseNumber,LicenseType,LicenseStatus,LicenseSubStatus,BusinessName,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty,Phone,Fax,FirstIssuanceDate,LicenseEffectiveDate,LicenseExpirationDate,BoardAction,Designated Representative License Number,Designated Representative,Latitude,Longitude
MMD.0700109,Medical Marijuana Dispensary - Certificate of Operation,Active,,The Landing Dispensary,4029 Smith Rd,Cincinnati,OH,45209-1923,Hamilton,(513) 512-4808,,2023.09.28,2023.09.28,2025.07.01,No,MME.05201215,Abayomi Sundiata Nelson,39.434945622181196,-84.23186826603667
MMD.0700148,Medical Marijuana Dispensary - Certificate of Operation,Active,,Theory Wellness,9915 Us Highway 127,Sherwood,OH,43556-9001,Defiance,(845) 661-4866,,2023.05.05,2023.05.05,2025.07.01,No,MME.05201441,Braden Nicholas Ratliff,39.1514922,-84.4462810235774
MMD.0700146,Medical Marijuana Dispensary - Certificate of Operation,Active,,Thrive Wellness Dispensary,318 W Market St,Tiffin,OH,44883-2733,Seneca,(419) 455-6925,,2023.06.07,2023.06.07,2025.07.01,No,MME.05201608,AMY C HAYFIELD,41.11317040816327,-83.19217506122449
MMD.0700116,Medical Marijuana Dispensary - Certificate of Operation,Active,,Trulieve Medical Marijuana Dispensary,8295 Sancus Blvd,Columbus,OH,43081-7508,Franklin,850-544-6703,,2023.06.30,2023.06.30,2025.07.01,No,MME.05201336,Christine Marie Quinn,40.13522133257624,-82.99196115010412
MMD.0700140,Medical Marijuana Dispensary - Certificate of Operation,Active,,Uplift,401 Rivers Edge,Milford,OH,45150-2589,Clermont,(513) 587-8787,,2023.04.19,2023.04.19,2025.07.01,No,MME.05201047,Kyle Douglas Graef,39.16166819231402,-84.27245042305793
MMD.0700097,Medical Marijuana Dispensary - Certificate of Operation,Active,,Uplift,101 Mercy Blvd,Mount Orab,OH,45154-0296,Brown,(513) 399-8377,,2023.01.18,2023.01.18,2025.07.01,No,MME.05201213,Eric L Gibson,39.044848,-83.9439377
MMD.0700144,Medical Marijuana Dispensary - Certificate of Operation,Active,,Verdant Creations,876 State Route 61,Marengo,OH,43334-8712,Morrow,(740) 200-0760,,2023.08.10,2023.08.10,2025.07.01,No,MME.05201643,Jeffrey Edward Lucas,39.044848,-83.9439377
MMD.0700036,Medical Marijuana Dispensary - Certificate of Operation,Active,,Verdant Creations Columbus,1243 N Cassady Ave,Columbus,OH,43219,Franklin,(614) 407-3111,,2019.10.08,2023.07.02,2025.07.01,No,MME.05200501,YAMINAH RENEE CLINE,39.996197432693606,-82.93042887314242
MMD.0700060,Medical Marijuana Dispensary - Certificate of Operation,Active,,Verilife,1098 N High St,Hillsboro,OH,45133-8500,Highland,(937) 402-4016,,2021.01.22,2023.07.02,2025.07.01,No,MME.05201111,Michelle Elaine Waggoner,39.21942304426216,-83.60842731417605
MMD.0700029,Medical Marijuana Dispensary - Certificate of Operation,Active,,Verilife,5431 Ridge Ave,Cincinnati,OH,45213-2513,Hamilton,(513) 599-1550,,2019.09.04,2023.07.02,2025.07.01,No,MME.05200547,Donneshia Marie Mitchell,39.1710581607312,-84.42605025618603
MMD.0700059,Medical Marijuana Dispensary - Certificate of Operation,Active,,Verilife,502 N Dixie Hwy,Wapakoneta,OH,45895-7757,Auglaize,(419) 738-4665,,2021.01.22,2023.07.02,2025.07.01,No,MME.05200652,Jacqueline Suzanne Strange,40.5745188442211,-84.18313313065326
MMD.0700133,Medical Marijuana Dispensary - Certificate of Operation,Active,,WyldSkye,3534 Dorr St,Toledo,OH,43607-1101,Lucas,(248) 884-0609,,2023.05.02,2023.05.02,2025.07.01,No,MME.05200590,TAEYA LANAE SHERMAN,41.6531265,-83.6273466
MMD.0700058,Medical Marijuana Dispensary - Certificate of Operation,Active,,Zen Leaf Bowling Green,1155 N Main St,Bowling Green,OH,43402-1310,Wood,(419) 882-8200,N/A,2020.12.29,2023.07.02,2025.07.01,No,MME.05200720,Jeremiah Stephen Genson,41.393554,-83.65118983239606
MMD.0700068,Medical Marijuana Dispensary - Certificate of Operation,Active,,Zen Leaf Canton,3224 Cleveland Ave NW,Canton,OH,44709-2815,Stark,(234) 901-5900,N/A,2021.06.30,2023.07.02,2025.07.01,No,MME.05200581,Jack Raymond Hartmann,40.8318420754717,-81.38763433333332
MMD.0700066,Medical Marijuana Dispensary - Certificate of Operation,Active,,Zen Leaf Cincinnati,8420 Vine St,Cincinnati,OH,45216-1116,Hamilton,(513) 440-6340,N/A,2021.07.01,2023.07.02,2025.07.01,No,MME.05200181,Eric L Bell,39.21616109337858,-84.47367467407557
MMD.0700069,Medical Marijuana Dispensary - Certificate of Operation,Active,,Zen Leaf Dayton,5604 Airway Rd,Riverside,OH,45431-1506,Montgomery,(937) 684-4621,N/A,2021.07.08,2023.07.02,2025.07.01,No,MME.05200779,Courtney Jo Branham,39.7708137,-84.1059678
MMD.0700067,Medical Marijuana Dispensary - Certificate of Operation,Active,,Zen Leaf Newark,1250 N 21st St,Newark,OH,43055-3061,Licking,(234) 901-5900,N/A,2021.06.30,2023.07.02,2025.07.01,No,MME.05200847,Cori Winn,40.08240276,-82.4277156
